Country,Year,Population
AIA,1976,0.006661
AIA,1977,0.006691
AIA,1978,0.006712
AIA,1979,0.006715
AIA,1980,0.006698
AIA,1981,0.006652
AIA,1982,0.006587
AIA,1983,0.006537
AIA,1984,0.006551
AIA,1985,0.006662
AIA,1986,0.006883
AIA,1987,0.007198
AIA,1988,0.007576
AIA,1989,0.007966
AIA,1990,0.008334
AIA,1991,0.008668
AIA,1992,0.008979
AIA,1993,0.009266
AIA,1994,0.00954
AIA,1995,0.009807
AIA,1996,0.010063
AIA,1997,0.010305
AIA,1998,0.010545
AIA,1999,0.010797
AIA,2000,0.011071
AIA,2001,0.011371
AIA,2002,0.011693
AIA,2003,0.012023
AIA,2004,0.012342
AIA,2005,0.012637
AIA,2006,0.012903
AIA,2007,0.013145
AIA,2008,0.013365
AIA,2009,0.013571
AIA,2010,0.013768
AIA,2011,0.013956
AIA,2012,0.014133
AIA,2013,0.0143
AIA,2014,0.01446
ALB,1970,2.150602
ALB,1971,2.20204
ALB,1972,2.253842
ALB,1973,2.305999
ALB,1974,2.358467
ALB,1975,2.411229
ALB,1976,2.464338
ALB,1977,2.517869
ALB,1978,2.571845
ALB,1979,2.62629
ALB,1980,2.681245
ALB,1981,2.735329
ALB,1982,2.788315
ALB,1983,2.84262
ALB,1984,2.90159
ALB,1985,2.966799
ALB,1986,3.041003
ALB,1987,3.121336
ALB,1988,3.197064
ALB,1989,3.253659
ALB,1990,3.281453
ALB,1991,3.275438
ALB,1992,3.240613
ALB,1993,3.189623
ALB,1994,3.140634
ALB,1995,3.106727
ALB,1996,3.092034
ALB,1997,3.092471
ALB,1998,3.102898
ALB,1999,3.114851
ALB,2000,3.121965
ALB,2001,3.124093
ALB,2002,3.123112
ALB,2003,3.117045
ALB,2004,3.103758
ALB,2005,3.082172
ALB,2006,3.050741
ALB,2007,3.010849
ALB,2008,2.968026
ALB,2009,2.929886
ALB,2010,2.901883
ALB,2011,2.88601
ALB,2012,2.880667
ALB,2013,2.883281
ALB,2014,2.889676
ARE,1970,0.235434
ARE,1971,0.27516
ARE,1972,0.324069
ARE,1973,0.382823
ARE,1974,0.451948
ARE,1975,0.531265
ARE,1976,0.622051
ARE,1977,0.722849
ARE,1978,0.827394
ARE,1979,0.927303
ARE,1980,1.016789
ARE,1981,1.093108
ARE,1982,1.158477
ARE,1983,1.218223
ARE,1984,1.280278
ARE,1985,1.350433
ARE,1986,1.430548
ARE,1987,1.518991
ARE,1988,1.613904
ARE,1989,1.712117
ARE,1990,1.811458
ARE,1991,1.91319
ARE,1992,2.019014
ARE,1993,2.127863
ARE,1994,2.238281
ARE,1995,2.350192
ARE,1996,2.467726
ARE,1997,2.59522
ARE,1998,2.73377
ARE,1999,2.884188
ARE,2000,3.050128
ARE,2001,3.217865
ARE,2002,3.39406
ARE,2003,3.625798
ARE,2004,3.975945
ARE,2005,4.481976
ARE,2006,5.171255
ARE,2007,6.0101
ARE,2008,6.900142
ARE,2009,7.705423
ARE,2010,8.329453
ARE,2011,8.734722
ARE,2012,8.952542
ARE,2013,9.039978
ARE,2014,9.086139
ARG,1950,17.15802882
ARG,1951,17.52519975
ARG,1952,17.8849764
ARG,1953,18.23899409
ARG,1954,18.58889387
ARG,1955,18.93631107
ARG,1956,19.28015612
ARG,1957,19.61933561
ARG,1958,19.95548678
ARG,1959,20.29024878
ARG,1960,20.62525694
ARG,1961,20.95998077
ARG,1962,21.29333069
ARG,1963,21.62610053
ARG,1964,21.9590898
ARG,1965,22.29309615
ARG,1966,22.62174808
ARG,1967,22.94451319
ARG,1968,23.27094779
ARG,1969,23.61061196
ARG,1970,23.973062
ARG,1971,24.366442
ARG,1972,24.78295
ARG,1973,25.213388
ARG,1974,25.644505
ARG,1975,26.066975
ARG,1976,26.477153
ARG,1977,26.878567
ARG,1978,27.277742
ARG,1979,27.68453
ARG,1980,28.105889
ARG,1981,28.543366
ARG,1982,28.993989
ARG,1983,29.454739
ARG,1984,29.920907
ARG,1985,30.388781
ARG,1986,30.857242
ARG,1987,31.326473
ARG,1988,31.795515
ARG,1989,32.263559
ARG,1990,32.72974
ARG,1991,33.19392
ARG,1992,33.655149
ARG,1993,34.110912
ARG,1994,34.558114
ARG,1995,34.994818
ARG,1996,35.419683
ARG,1997,35.833965
ARG,1998,36.241578
ARG,1999,36.648054
ARG,2000,37.057453
ARG,2001,37.471535
ARG,2002,37.889443
ARG,2003,38.309475
ARG,2004,38.728778
ARG,2005,39.145491
ARG,2006,39.55875
ARG,2007,39.969903
ARG,2008,40.38186
ARG,2009,40.798641
ARG,2010,41.222875
ARG,2011,41.655616
ARG,2012,42.095224
ARG,2013,42.538304
ARG,2014,42.980026
ARM,1990,3.544695
ARM,1991,3.511912
ARM,1992,3.449497
ARM,1993,3.369673
ARM,1994,3.289943
ARM,1995,3.223173
ARM,1996,3.173425
ARM,1997,3.137652
ARM,1998,3.112958
ARM,1999,3.09382
ARM,2000,3.076098
ARM,2001,3.060036
ARM,2002,3.047249
ARM,2003,3.03642
ARM,2004,3.025982
ARM,2005,3.014917
ARM,2006,3.002161
ARM,2007,2.988117
ARM,2008,2.975029
ARM,2009,2.966108
ARM,2010,2.963496
ARM,2011,2.967984
ARM,2012,2.978339
ARM,2013,2.992192
ARM,2014,3.006154
ATG,1970,0.065369
ATG,1971,0.066338
ATG,1972,0.067205
ATG,1973,0.067972
ATG,1974,0.068655
ATG,1975,0.069253
ATG,1976,0.069782
ATG,1977,0.070223
ATG,1978,0.070508
ATG,1979,0.070553
ATG,1980,0.070301
ATG,1981,0.06975
ATG,1982,0.06895
ATG,1983,0.067958
ATG,1984,0.066863
ATG,1985,0.065744
ATG,1986,0.064605
ATG,1987,0.063484
ATG,1988,0.062538
ATG,1989,0.061967
ATG,1990,0.061906
ATG,1991,0.062412
ATG,1992,0.063434
ATG,1993,0.064868
ATG,1994,0.06655
ATG,1995,0.068349
ATG,1996,0.070245
ATG,1997,0.072232
ATG,1998,0.074206
ATG,1999,0.076041
ATG,2000,0.077648
ATG,2001,0.078972
ATG,2002,0.08003
ATG,2003,0.080904
ATG,2004,0.081718
ATG,2005,0.082565
ATG,2006,0.083467
ATG,2007,0.084397
ATG,2008,0.08535
ATG,2009,0.0863
ATG,2010,0.087233
ATG,2011,0.088152
ATG,2012,0.089069
ATG,2013,0.089985
ATG,2014,0.0909
AUS,1950,8.427065478
AUS,1951,8.675028677
AUS,1952,8.859129784
AUS,1953,9.02906351
AUS,1954,9.23913815
AUS,1955,9.456324671
AUS,1956,9.684161518
AUS,1957,9.900220403
AUS,1958,10.10683437
AUS,1959,10.32747865
AUS,1960,10.56145722
AUS,1961,10.80358782
AUS,1962,11.00353124
AUS,1963,11.21403652
AUS,1964,11.43504631
AUS,1965,11.66039847
AUS,1966,11.8802641
AUS,1967,12.10164134
AUS,1968,12.33546924
AUS,1969,12.61855926
AUS,1970,12.90476
AUS,1971,13.150591
AUS,1972,13.364238
AUS,1973,13.55219
AUS,1974,13.7254
AUS,1975,13.892674
AUS,1976,14.054956
AUS,1977,14.211657
AUS,1978,14.368543
AUS,1979,14.532401
AUS,1980,14.708323
AUS,1981,14.898019
AUS,1982,15.101227
AUS,1983,15.318254
AUS,1984,15.548591
AUS,1985,15.791043
AUS,1986,16.047026
AUS,1987,16.314778
AUS,1988,16.585905
AUS,1989,16.849253
AUS,1990,17.096869
AUS,1991,17.325818
AUS,1992,17.538387
AUS,1993,17.738428
AUS,1994,17.932214
AUS,1995,18.12477
AUS,1996,18.31834
AUS,1997,18.512971
AUS,1998,18.709175
AUS,1999,18.906936
AUS,2000,19.107251
AUS,2001,19.308681
AUS,2002,19.514385
AUS,2003,19.735255
AUS,2004,19.985475
AUS,2005,20.274282
AUS,2006,20.606228
AUS,2007,20.975949
AUS,2008,21.370348
AUS,2009,21.77069
AUS,2010,22.162863
AUS,2011,22.542371
AUS,2012,22.911375
AUS,2013,23.270465
AUS,2014,23.622353
AUT,1950,6.974720956
AUT,1951,6.975073913
AUT,1952,6.967351057
AUT,1953,6.972089123
AUT,1954,6.979858976
AUT,1955,6.986573315
AUT,1956,6.99207868
AUT,1957,7.005656501
AUT,1958,7.027277525
AUT,1959,7.054404394
AUT,1960,7.087699861
AUT,1961,7.126783633
AUT,1962,7.170597799
AUT,1963,7.216806894
AUT,1964,7.265071389
AUT,1965,7.312428075
AUT,1966,7.363897479
AUT,1967,7.419143429
AUT,1968,7.457767781
AUT,1969,7.483566265
AUT,1970,7.509746
AUT,1971,7.543451
AUT,1972,7.57366
AUT,1973,7.598925
AUT,1974,7.617432
AUT,1975,7.628138
AUT,1976,7.630536
AUT,1977,7.625724
AUT,1978,7.616309
AUT,1979,7.605888
AUT,1980,7.597269
AUT,1981,7.591618
AUT,1982,7.588957
AUT,1983,7.589573
AUT,1984,7.593397
AUT,1985,7.600514
AUT,1986,7.610435
AUT,1987,7.6237
AUT,1988,7.642479
AUT,1989,7.669601
AUT,1990,7.706571
AUT,1991,7.755143
AUT,1992,7.813393
AUT,1993,7.874675
AUT,1994,7.929911
AUT,1995,7.972833
AUT,1996,8.000453
AUT,1997,8.015256
AUT,1998,8.023166
AUT,1999,8.032953
AUT,2000,8.050884
AUT,2001,8.078877
AUT,2002,8.114698
AUT,2003,8.155466
AUT,2004,8.196624
AUT,2005,8.234858
AUT,2006,8.269372
AUT,2007,8.30129
AUT,2008,8.331465
AUT,2009,8.361362
AUT,2010,8.391986
AUT,2011,8.423559
AUT,2012,8.455477
AUT,2013,8.486962
AUT,2014,8.516916
AZE,1990,7.216503
AZE,1991,7.332519
AZE,1992,7.45092
AZE,1993,7.567156
AZE,1994,7.675128
AZE,1995,7.770806
AZE,1996,7.852287
AZE,1997,7.921789
AZE,1998,7.984531
AZE,1999,8.047997
AZE,2000,8.117742
AZE,2001,8.195648
AZE,2002,8.280599
AZE,2003,8.371536
AZE,2004,8.466304
AZE,2005,8.563398
AZE,2006,8.662137
AZE,2007,8.763359
AZE,2008,8.868713
AZE,2009,8.980488
AZE,2010,9.099893
AZE,2011,9.227512
AZE,2012,9.361477
AZE,2013,9.497496
AZE,2014,9.629779
BDI,1960,2.763603959
BDI,1961,2.840903288
BDI,1962,2.907418428
BDI,1963,2.953104963
BDI,1964,3.031995241
BDI,1965,3.112315922
BDI,1966,3.193746382
BDI,1967,3.269701666
BDI,1968,3.338203737
BDI,1969,3.396480486
BDI,1970,3.457113
BDI,1971,3.507593
BDI,1972,3.547335
BDI,1973,3.582952
BDI,1974,3.623853
BDI,1975,3.676991
BDI,1976,3.744696
BDI,1977,3.825484
BDI,1978,3.917866
BDI,1979,4.018927
BDI,1980,4.126544
BDI,1981,4.239673
BDI,1982,4.359122
BDI,1983,4.486613
BDI,1984,4.624617
BDI,1985,4.774258
BDI,1986,4.936429
BDI,1987,5.108581
BDI,1988,5.284173
BDI,1989,5.454475
BDI,1990,5.613141
BDI,1991,5.759429
BDI,1992,5.895131
BDI,1993,6.019901
BDI,1994,6.134041
BDI,1995,6.23903
BDI,1996,6.333415
BDI,1997,6.420397
BDI,1998,6.51192
BDI,1999,6.623707
BDI,2000,6.767073
BDI,2001,6.94672
BDI,2002,7.159918
BDI,2003,7.401215
BDI,2004,7.661613
BDI,2005,7.934213
BDI,2006,8.21807
BDI,2007,8.514578
BDI,2008,8.821795
BDI,2009,9.137786
BDI,2010,9.461117
BDI,2011,9.790151
BDI,2012,10.124572
BDI,2013,10.465959
BDI,2014,10.81686
BEL,1950,8.663141468
BEL,1951,8.702265552
BEL,1952,8.754427809
BEL,1953,8.80202661
BEL,1954,8.843647589
BEL,1955,8.892877835
BEL,1956,8.948400526
BEL,1957,9.013845769
BEL,1958,9.077616533
BEL,1959,9.128779459
BEL,1960,9.143791433
BEL,1961,9.191021102
BEL,1962,9.243765745
BEL,1963,9.308643904
BEL,1964,9.392774263
BEL,1965,9.474097886
BEL,1966,9.533962172
BEL,1967,9.58279651
BEL,1968,9.616187585
BEL,1969,9.63915118
BEL,1970,9.66432
BEL,1971,9.6929
BEL,1972,9.715673
BEL,1973,9.734412
BEL,1974,9.751592
BEL,1975,9.769006
BEL,1976,9.787576
BEL,1977,9.806885
BEL,1978,9.825779
BEL,1979,9.842453
BEL,1980,9.855747
BEL,1981,9.865512
BEL,1982,9.872709
BEL,1983,9.878636
BEL,1984,9.885088
BEL,1985,9.893499
BEL,1986,9.903895
BEL,1987,9.916261
BEL,1988,9.931873
BEL,1989,9.952253
BEL,1990,9.978241
BEL,1991,10.011217
BEL,1992,10.050405
BEL,1993,10.091889
BEL,1994,10.130251
BEL,1995,10.161914
BEL,1996,10.185077
BEL,1997,10.201758
BEL,1998,10.216867
BEL,1999,10.237402
BEL,2000,10.26838
BEL,2001,10.311331
BEL,2002,10.364613
BEL,2003,10.426169
BEL,2004,10.492643
BEL,2005,10.561436
BEL,2006,10.632032
BEL,2007,10.70483
BEL,2008,10.779155
BEL,2009,10.854388
BEL,2010,10.929978
BEL,2011,11.005175
BEL,2012,11.079521
BEL,2013,11.153122
BEL,2014,11.226322
BEN,1959,2.231113051
BEN,1960,2.280970462
BEN,1961,2.332873422
BEN,1962,2.388423704
BEN,1963,2.444896203
BEN,1964,2.503705074
BEN,1965,2.56469948
BEN,1966,2.628227668
BEN,1967,2.694138007
BEN,1968,2.762534231
BEN,1969,2.833796605
BEN,1970,2.907769
BEN,1971,2.971941
BEN,1972,3.0393
BEN,1973,3.110074
BEN,1974,3.184547
BEN,1975,3.262959
BEN,1976,3.345501
BEN,1977,3.432262
BEN,1978,3.52327
BEN,1979,3.618509
BEN,1980,3.718024
BEN,1981,3.822206
BEN,1982,3.931355
BEN,1983,4.045352
BEN,1984,4.163968
BEN,1985,4.287263
BEN,1986,4.41445
BEN,1987,4.546136
BEN,1988,4.685375
BEN,1989,4.83624
BEN,1990,5.001271
BEN,1991,5.182525
BEN,1992,5.378226
BEN,1993,5.58242
BEN,1994,5.786794
BEN,1995,5.985658
BEN,1996,6.176318
BEN,1997,6.361301
BEN,1998,6.546493
BEN,1999,6.740491
BEN,2000,6.949366
BEN,2001,7.174911
BEN,2002,7.414744
BEN,2003,7.665681
BEN,2004,7.922796
BEN,2005,8.182362
BEN,2006,8.443717
BEN,2007,8.707637
BEN,2008,8.973525
BEN,2009,9.240982
BEN,2010,9.509798
BEN,2011,9.779391
BEN,2012,10.049792
BEN,2013,10.322232
BEN,2014,10.598482
BFA,1959,5.105684838
BFA,1960,5.160122864
BFA,1961,5.186520398
BFA,1962,5.217215206
BFA,1963,5.252278083
BFA,1964,5.291798533
BFA,1965,5.335870108
BFA,1966,5.384604057
BFA,1967,5.438118204
BFA,1968,5.496549083
BFA,1969,5.560041824
BFA,1970,5.624597
BFA,1971,5.723379
BFA,1972,5.825171
BFA,1973,5.930487
BFA,1974,6.040044
BFA,1975,6.154548
BFA,1976,6.274037
BFA,1977,6.398937
BFA,1978,6.53082
BFA,1979,6.671659
BFA,1980,6.82284
BFA,1981,6.985158
BFA,1982,7.158256
BFA,1983,7.340907
BFA,1984,7.531244
BFA,1985,7.727912
BFA,1986,7.93069
BFA,1987,8.140076
BFA,1988,8.356306
BFA,1989,8.579825
BFA,1990,8.811033
BFA,1991,9.05009
BFA,1992,9.297116
BFA,1993,9.552473
BFA,1994,9.816586
BFA,1995,10.089876
BFA,1996,10.372809
BFA,1997,10.665781
BFA,1998,10.969093
BFA,1999,11.283016
BFA,2000,11.607944
BFA,2001,11.94374
BFA,2002,12.290984
BFA,2003,12.651596
BFA,2004,13.028039
BFA,2005,13.421929
BFA,2006,13.834195
BFA,2007,14.264002
BFA,2008,14.709011
BFA,2009,15.165856
BFA,2010,15.632066
BFA,2011,16.106851
BFA,2012,16.590813
BFA,2013,17.084554
BFA,2014,17.589198
BGD,1959,51.64679296
BGD,1960,52.74186449
BGD,1961,53.82025971
BGD,1962,54.87748984
BGD,1963,56.21347048
BGD,1964,57.3462102
BGD,1965,58.24052107
BGD,1966,59.41122013
BGD,1967,60.63755725
BGD,1968,61.8998157
BGD,1969,63.19903474
BGD,1970,65.048701
BGD,1971,66.41745
BGD,1972,67.578486
BGD,1973,68.658472
BGD,1974,69.83796
BGD,1975,71.247153
BGD,1976,72.930206
BGD,1977,74.848466
BGD,1978,76.948378
BGD,1979,79.141947
BGD,1980,81.364176
BGD,1981,83.599582
BGD,1982,85.868228
BGD,1983,88.181211
BGD,1984,90.55954
BGD,1985,93.015182
BGD,1986,95.550798
BGD,1987,98.149262
BGD,1988,100.779551
BGD,1989,103.400571
BGD,1990,105.983136
BGD,1991,108.509679
BGD,1992,110.987459
BGD,1993,113.442354
BGD,1994,115.91371
BGD,1995,118.427768
BGD,1996,120.987124
BGD,1997,123.574107
BGD,1998,126.169583
BGD,1999,128.746273
BGD,2000,131.280739
BGD,2001,133.776064
BGD,2002,136.228456
BGD,2003,138.600174
BGD,2004,140.843786
BGD,2005,142.929979
BGD,2006,144.839238
BGD,2007,146.592687
BGD,2008,148.252473
BGD,2009,149.905836
BGD,2010,151.616777
BGD,2011,153.405612
BGD,2012,155.257387
BGD,2013,157.157394
BGD,2014,159.077513
BGR,1970,8.494765
BGR,1971,8.54681
BGR,1972,8.596962
BGR,1973,8.644419
BGR,1974,8.688112
BGR,1975,8.727332
BGR,1976,8.761231
BGR,1977,8.790072
BGR,1978,8.815565
BGR,1979,8.840131
BGR,1980,8.865235
BGR,1981,8.891245
BGR,1982,8.916713
BGR,1983,8.939007
BGR,1984,8.954518
BGR,1985,8.960387
BGR,1986,8.956741
BGR,1987,8.943721
BGR,1988,8.91866
BGR,1989,8.878348
BGR,1990,8.821111
BGR,1991,8.745408
BGR,1992,8.653527
BGR,1993,8.552429
BGR,1994,8.451626
BGR,1995,8.358116
BGR,1996,8.274662
BGR,1997,8.199923
BGR,1998,8.131743
BGR,1999,8.066219
BGR,2000,8.00051
BGR,2001,7.934389
BGR,2002,7.869124
BGR,2003,7.805041
BGR,2004,7.74274
BGR,2005,7.682614
BGR,2006,7.624611
BGR,2007,7.568378
BGR,2008,7.513646
BGR,2009,7.460057
BGR,2010,7.407297
BGR,2011,7.355231
BGR,2012,7.303741
BGR,2013,7.252539
BGR,2014,7.201308
BHR,1970,0.213102
BHR,1971,0.220808
BHR,1972,0.229588
BHR,1973,0.23986
BHR,1974,0.252139
BHR,1975,0.266686
BHR,1976,0.283843
BHR,1977,0.303236
BHR,1978,0.323511
BHR,1979,0.342829
BHR,1980,0.359902
BHR,1981,0.374125
BHR,1982,0.38595
BHR,1983,0.396447
BHR,1984,0.407223
BHR,1985,0.419425
BHR,1986,0.433487
BHR,1987,0.448994
BHR,1988,0.465235
BHR,1989,0.481126
BHR,1990,0.495944
BHR,1991,0.509654
BHR,1992,0.522748
BHR,1993,0.535692
BHR,1994,0.549151
BHR,1995,0.56373
BHR,1996,0.579855
BHR,1997,0.597834
BHR,1998,0.618054
BHR,1999,0.640904
BHR,2000,0.666855
BHR,2001,0.694893
BHR,2002,0.725365
BHR,2003,0.761595
BHR,2004,0.807989
BHR,2005,0.867014
BHR,2006,0.940808
BHR,2007,1.026568
BHR,2008,1.115777
BHR,2009,1.196774
BHR,2010,1.261319
BHR,2011,1.306014
BHR,2012,1.333577
BHR,2013,1.349427
BHR,2014,1.36193
BHS,1970,0.169356
BHS,1971,0.173867
BHS,1972,0.177844
BHS,1973,0.181489
BHS,1974,0.185097
BHS,1975,0.188882
BHS,1976,0.192905
BHS,1977,0.197118
BHS,1978,0.201511
BHS,1979,0.206038
BHS,1980,0.21066
BHS,1981,0.215404
BHS,1982,0.220275
BHS,1983,0.225185
BHS,1984,0.230016
BHS,1985,0.234684
BHS,1986,0.239132
BHS,1987,0.243391
BHS,1988,0.247576
BHS,1989,0.251855
BHS,1990,0.256338
BHS,1991,0.261117
BHS,1992,0.266133
BHS,1993,0.271165
BHS,1994,0.275903
BHS,1995,0.280151
BHS,1996,0.283792
BHS,1997,0.286968
BHS,1998,0.290054
BHS,1999,0.293572
BHS,2000,0.297891
BHS,2001,0.303138
BHS,2002,0.30917
BHS,2003,0.315757
BHS,2004,0.322539
BHS,2005,0.329243
BHS,2006,0.335801
BHS,2007,0.342259
BHS,2008,0.348587
BHS,2009,0.35478
BHS,2010,0.36083
BHS,2011,0.366711
BHS,2012,0.372388
BHS,2013,0.377841
BHS,2014,0.383054
BIH,1990,4.526996
BIH,1991,4.437898
BIH,1992,4.301169
BIH,1993,4.141167
BIH,1994,3.992256
BIH,1995,3.879278
BIH,1996,3.810649
BIH,1997,3.779354
BIH,1998,3.775898
BIH,1999,3.784389
BIH,2000,3.792878
BIH,2001,3.799747
BIH,2002,3.808347
BIH,2003,3.817313
BIH,2004,3.825872
BIH,2005,3.833377
BIH,2006,3.838504
BIH,2007,3.840418
BIH,2008,3.839749
BIH,2009,3.837732
BIH,2010,3.835258
BIH,2011,3.83231
BIH,2012,3.828419
BIH,2013,3.823533
BIH,2014,3.817554
BLR,1990,10.231983
BLR,1991,10.241137
BLR,1992,10.234863
BLR,1993,10.216281
BLR,1994,10.190064
BLR,1995,10.159731
BLR,1996,10.126941
BLR,1997,10.091181
BLR,1998,10.051298
BLR,1999,10.005259
BLR,2000,9.952055
BLR,2001,9.891535
BLR,2002,9.825802
BLR,2003,9.758817
BLR,2004,9.695791
BLR,2005,9.640616
BLR,2006,9.594233
BLR,2007,9.556061
BLR,2008,9.526453
BLR,2009,9.505319
BLR,2010,9.492122
BLR,2011,9.487674
BLR,2012,9.490962
BLR,2013,9.497294
BLR,2014,9.500422
BLZ,1970,0.122179
BLZ,1971,0.124792
BLZ,1972,0.127148
BLZ,1973,0.129294
BLZ,1974,0.131306
BLZ,1975,0.133261
BLZ,1976,0.135145
BLZ,1977,0.136991
BLZ,1978,0.138972
BLZ,1979,0.141308
BLZ,1980,0.144151
BLZ,1981,0.147566
BLZ,1982,0.151498
BLZ,1983,0.15582
BLZ,1984,0.160342
BLZ,1985,0.164916
BLZ,1986,0.16957
BLZ,1987,0.174326
BLZ,1988,0.179025
BLZ,1989,0.18347
BLZ,1990,0.187552
BLZ,1991,0.191127
BLZ,1992,0.194321
BLZ,1993,0.197615
BLZ,1994,0.201678
BLZ,1995,0.206962
BLZ,1996,0.213674
BLZ,1997,0.221608
BLZ,1998,0.230289
BLZ,1999,0.239024
BLZ,2000,0.247312
BLZ,2001,0.254989
BLZ,2002,0.262202
BLZ,2003,0.269132
BLZ,2004,0.276085
BLZ,2005,0.283279
BLZ,2006,0.290751
BLZ,2007,0.298403
BLZ,2008,0.306165
BLZ,2009,0.313925
BLZ,2010,0.321609
BLZ,2011,0.329193
BLZ,2012,0.336707
BLZ,2013,0.344193
BLZ,2014,0.351706
BMU,1970,0.052286
BMU,1971,0.052857
BMU,1972,0.053426
BMU,1973,0.05398
BMU,1974,0.054507
BMU,1975,0.054994
BMU,1976,0.055439
BMU,1977,0.055851
BMU,1978,0.056237
BMU,1979,0.056613
BMU,1980,0.05699
BMU,1981,0.05737
BMU,1982,0.057752
BMU,1983,0.058138
BMU,1984,0.058528
BMU,1985,0.058923
BMU,1986,0.059324
BMU,1987,0.05973
BMU,1988,0.060138
BMU,1989,0.060539
BMU,1990,0.060931
BMU,1991,0.061311
BMU,1992,0.06168
BMU,1993,0.062036
BMU,1994,0.062374
BMU,1995,0.062694
BMU,1996,0.062989
BMU,1997,0.063257
BMU,1998,0.063511
BMU,1999,0.063768
BMU,2000,0.064035
BMU,2001,0.064321
BMU,2002,0.064614
BMU,2003,0.064875
BMU,2004,0.065058
BMU,2005,0.065124
BMU,2006,0.065064
BMU,2007,0.064891
BMU,2008,0.064627
BMU,2009,0.064306
BMU,2010,0.063954
BMU,2011,0.063578
BMU,2012,0.063179
BMU,2013,0.062773
BMU,2014,0.062376
BOL,1950,2.867572774
BOL,1951,2.92732791
BOL,1952,2.989165712
BOL,1953,3.053081977
BOL,1954,3.119086345
BOL,1955,3.187173378
BOL,1956,3.257345301
BOL,1957,3.329645615
BOL,1958,3.404159101
BOL,1959,3.480967078
BOL,1960,3.560142708
BOL,1961,3.641741358
BOL,1962,3.725855965
BOL,1963,3.812648425
BOL,1964,3.902251222
BOL,1965,3.994775831
BOL,1966,4.090317907
BOL,1967,4.189003754
BOL,1968,4.291020234
BOL,1969,4.396560387
BOL,1970,4.505774
BOL,1971,4.600596
BOL,1972,4.69809
BOL,1973,4.79851
BOL,1974,4.902173
BOL,1975,5.009259
BOL,1976,5.119833
BOL,1977,5.233677
BOL,1978,5.35032
BOL,1979,5.469123
BOL,1980,5.589572
BOL,1981,5.711598
BOL,1982,5.835186
BOL,1983,5.959962
BOL,1984,6.085499
BOL,1985,6.211549
BOL,1986,6.337893
BOL,1987,6.464736
BOL,1988,6.592787
BOL,1989,6.723046
BOL,1990,6.856246
BOL,1991,6.992521
BOL,1992,7.131699
BOL,1993,7.273824
BOL,1994,7.418864
BOL,1995,7.566716
BOL,1996,7.717445
BOL,1997,7.87086
BOL,1998,8.026257
BOL,1999,8.18271
BOL,2000,8.339512
BOL,2001,8.496378
BOL,2002,8.653343
BOL,2003,8.81042
BOL,2004,8.96774
BOL,2005,9.125405
BOL,2006,9.283345
BOL,2007,9.441482
BOL,2008,9.599916
BOL,2009,9.758799
BOL,2010,9.918245
BOL,2011,10.078238
BOL,2012,10.238762
BOL,2013,10.399931
BOL,2014,10.561887
BRA,1950,53.609605
BRA,1951,55.166902
BRA,1952,56.778935
BRA,1953,58.447918
BRA,1954,60.176149
BRA,1955,61.966034
